Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Latitude,Longitude,Year,Month,Day
Canberra,8.0,24.3,0.0,WGD_NW,30.0,WD9_SW,WD15_NW,6.0,20.0,68.0,29.0,1019.7,1015.0,14.4,23.6,No,Yes,-35.3075,149.1244,2007,11,1
Canberra,14.0,26.9,3.6,WGD_ENE,39.0,WD9_E,WD15_W,4.0,17.0,80.0,36.0,1012.4,1008.4,17.5,25.7,Yes,Yes,-35.3075,149.1244,2007,11,2
Canberra,13.7,23.4,3.6,WGD_NW,85.0,WD9_N,WD15_NNE,6.0,6.0,82.0,69.0,1009.5,1007.2,15.4,20.2,Yes,Yes,-35.3075,149.1244,2007,11,3
Canberra,13.3,15.5,39.8,WGD_NW,54.0,WD9_WNW,WD15_W,30.0,24.0,62.0,56.0,1005.5,1007.0,13.5,14.1,Yes,Yes,-35.3075,149.1244,2007,11,4
Canberra,7.6,16.1,2.8,WGD_SSE,50.0,WD9_SSE,WD15_ESE,20.0,28.0,68.0,49.0,1018.3,1018.5,11.1,15.4,Yes,No,-35.3075,149.1244,2007,11,5
Canberra,6.2,16.9,0.0,WGD_SE,44.0,WD9_SE,WD15_E,20.0,24.0,70.0,57.0,1023.8,1021.7,10.9,14.8,No,No,-35.3075,149.1244,2007,11,6
Canberra,6.1,18.2,0.2,WGD_SE,43.0,WD9_SE,WD15_ESE,19.0,26.0,63.0,47.0,1024.6,1022.2,12.4,17.3,No,No,-35.3075,149.1244,2007,11,7
Canberra,8.3,17.0,0.0,WGD_E,41.0,WD9_SE,WD15_E,11.0,24.0,65.0,57.0,1026.2,1024.2,12.1,15.5,No,No,-35.3075,149.1244,2007,11,8
Canberra,8.8,19.5,0.0,WGD_S,48.0,WD9_E,WD15_ENE,19.0,17.0,70.0,48.0,1026.1,1022.7,14.1,18.9,No,Yes,-35.3075,149.1244,2007,11,9
Canberra,8.4,22.8,16.2,WGD_E,31.0,WD9_S,WD15_ESE,7.0,6.0,82.0,32.0,1024.1,1020.7,13.3,21.7,Yes,No,-35.3075,149.1244,2007,11,10
Canberra,9.1,25.2,0.0,WGD_N,30.0,WD9_SE,WD15_NW,6.0,9.0,74.0,34.0,1024.4,1021.1,14.6,24.0,No,No,-35.3075,149.1244,2007,11,11
Canberra,8.5,27.3,0.2,WGD_E,41.0,WD9_E,WD15_NW,2.0,15.0,54.0,35.0,1023.8,1019.9,16.8,26.0,No,No,-35.3075,149.1244,2007,11,12
Canberra,10.1,27.9,0.0,WGD_WNW,30.0,WD9_S,WD15_NW,6.0,7.0,62.0,29.0,1022.0,1017.1,17.0,27.1,No,No,-35.3075,149.1244,2007,11,13
Canberra,12.1,30.9,0.0,WGD_NW,44.0,WD9_WNW,WD15_W,7.0,20.0,67.0,20.0,1017.3,1013.1,19.7,30.7,No,No,-35.3075,149.1244,2007,11,14
Canberra,10.1,31.2,0.0,WGD_NW,41.0,WD9_S,WD15_W,6.0,20.0,45.0,16.0,1018.2,1013.7,18.7,30.4,No,No,-35.3075,149.1244,2007,11,15
Canberra,12.4,32.1,0.0,WGD_E,46.0,WD9_SE,WD15_WSW,7.0,9.0,70.0,22.0,1017.9,1012.8,19.1,30.7,No,No,-35.3075,149.1244,2007,11,16
Canberra,13.8,31.2,0.0,WGD_ESE,44.0,WD9_WSW,WD15_W,6.0,19.0,72.0,23.0,1014.4,1009.8,20.2,29.8,No,Yes,-35.3075,149.1244,2007,11,17
Canberra,11.7,30.0,1.2,WGD_S,52.0,WD9_SW,WD15_NE,6.0,11.0,59.0,26.0,1016.4,1013.0,20.1,28.6,Yes,No,-35.3075,149.1244,2007,11,18
Canberra,12.4,32.3,0.6,WGD_E,39.0,WD9_NNE,WD15_W,4.0,17.0,60.0,25.0,1017.1,1013.3,20.2,31.2,No,No,-35.3075,149.1244,2007,11,19
Canberra,15.6,33.4,0.0,WGD_NE,33.0,WD9_NNW,WD15_NNW,2.0,13.0,61.0,27.0,1018.5,1013.7,22.8,32.0,No,No,-35.3075,149.1244,2007,11,20
Canberra,15.3,33.4,0.0,WGD_WNW,59.0,WD9_N,WD15_NW,2.0,31.0,60.0,26.0,1012.4,1006.5,22.2,32.8,No,No,-35.3075,149.1244,2007,11,21
Canberra,16.4,19.4,0.4,WGD_E,26.0,WD9_ENE,WD15_E,6.0,11.0,88.0,72.0,1010.7,1008.9,16.5,18.3,No,Yes,-35.3075,149.1244,2007,11,22
Canberra,12.8,18.5,25.8,WGD_ESE,28.0,WD9_S,WD15_SE,13.0,13.0,91.0,79.0,1014.0,1014.9,14.0,16.8,Yes,No,-35.3075,149.1244,2007,11,23
Canberra,12.0,24.3,0.4,WGD_NNE,26.0,WD9_WSW,WD15_NE,6.0,9.0,74.0,57.0,1020.7,1019.2,17.8,22.8,No,No,-35.3075,149.1244,2007,11,24
Canberra,15.4,28.4,0.0,WGD_ENE,33.0,WD9_SSE,WD15_NE,9.0,15.0,85.0,31.0,1022.4,1018.6,16.8,27.3,No,No,-35.3075,149.1244,2007,11,25
Canberra,15.6,26.9,0.0,WGD_E,41.0,WD9_E,WD15_E,6.0,22.0,65.0,48.0,1019.7,1016.5,19.8,25.1,No,No,-35.3075,149.1244,2007,11,26
Canberra,13.3,22.2,0.2,WGD_ENE,39.0,WD9_E,WD15_E,20.0,17.0,70.0,55.0,1021.0,1018.6,16.5,21.2,No,No,-35.3075,149.1244,2007,11,27
Canberra,12.9,28.0,0.0,WGD_S,52.0,WD9_S,WD15_NNE,6.0,11.0,61.0,31.0,1019.2,1014.8,18.8,26.7,No,No,-35.3075,149.1244,2007,11,28
Canberra,15.1,24.3,0.0,WGD_SE,39.0,WD9_SE,WD15_SE,7.0,17.0,69.0,80.0,1019.0,1017.1,18.9,19.7,No,No,-35.3075,149.1244,2007,11,29
Canberra,13.6,24.1,0.4,WGD_NNW,30.0,WD9_SSW,WD15_S,6.0,6.0,83.0,49.0,1017.2,1013.3,17.3,23.2,No,Yes,-35.3075,149.1244,2007,11,30
Canberra,15.1,20.4,22.6,WGD_SSE,41.0,WD9_E,WD15_S,6.0,20.0,82.0,90.0,1015.0,1014.1,17.0,16.3,Yes,Yes,-35.3075,149.1244,2007,12,1
Canberra,11.6,26.3,4.2,WGD_NNE,41.0,WD9_E,WD15_SW,6.0,9.0,66.0,46.0,1013.9,1009.5,16.7,25.2,Yes,No,-35.3075,149.1244,2007,12,2
Canberra,16.6,24.2,0.2,WGD_NW,50.0,WD9_WNW,WD15_NW,13.0,35.0,72.0,60.0,1007.9,1004.6,20.5,19.9,No,Yes,-35.3075,149.1244,2007,12,3
